
File;Speaker;Segment;Start;End;Duration
dec2022-002_002-003.wav;SPEAKER_00;dec2022-002_002-003_SPEAKER_00_0;22.1215625;31.574687500000003;9.453125000000004
dec2022-002_002-003.wav;SPEAKER_00;dec2022-002_002-003_SPEAKER_00_1;51.02843750000001;84.6465625;33.61812499999999
dec2022-002_002-003.wav;SPEAKER_00;dec2022-002_002-003_SPEAKER_00_2;137.71531250000004;177.29031249999997;39.57499999999993
dec2022-002_002-003.wav;SPEAKER_00;dec2022-002_002-003_SPEAKER_00_3;223.8284375;292.74906250000004;68.92062500000003
dec2022-002_002-003.wav;SPEAKER_00;dec2022-002_002-003_SPEAKER_00_4;327.3396875;350.09031250000004;22.750625000000014
dec2022-002_002-003.wav;SPEAKER_00;dec2022-002_002-003_SPEAKER_00_5;353.12468750000005;394.5053125;41.38062499999995
dec2022-002_002-003.wav;SPEAKER_00;dec2022-002_002-003_SPEAKER_00_6;395.54843750000003;420.9146875;25.36624999999998
dec2022-002_002-003.wav;SPEAKER_00;dec2022-002_002-003_SPEAKER_00_7;492.7484375;529.2184375;36.47000000000003
dec2022-002_002-003.wav;SPEAKER_01;dec2022-002_002-003_SPEAKER_01_0;32.735937500000006;50.964062500000004;18.228125
dec2022-002_002-003.wav;SPEAKER_01;dec2022-002_002-003_SPEAKER_01_1;84.9809375;137.1953125;52.214375000000004
dec2022-002_002-003.wav;SPEAKER_01;dec2022-002_002-003_SPEAKER_01_2;184.42531250000002;223.2578125;38.83249999999998
dec2022-002_002-003.wav;SPEAKER_01;dec2022-002_002-003_SPEAKER_01_3;293.5896875;327.4609375;33.871249999999975
dec2022-002_002-003.wav;SPEAKER_01;dec2022-002_002-003_SPEAKER_01_4;421.78906250000006;492.5321875;70.74312499999996
dec2022-002_002-003.wav;SPEAKER_01;dec2022-002_002-003_SPEAKER_01_5;529.3671875;543.9503125;14.583124999999995
dec2022-002_032-044.wav;SPEAKER_00;dec2022-002_032-044_SPEAKER_00_0;13.245312500000002;76.96843750000001;63.723125
dec2022-002_032-044.wav;SPEAKER_00;dec2022-002_032-044_SPEAKER_00_1;148.53218750000002;259.2690625;110.736875
dec2022-002_032-044.wav;SPEAKER_00;dec2022-002_032-044_SPEAKER_00_2;358.1365625;418.29906250000005;60.16250000000002
dec2022-002_032-044.wav;SPEAKER_00;dec2022-002_032-044_SPEAKER_00_3;419.4096875;444.48906250000005;25.079375000000027
dec2022-002_032-044.wav;SPEAKER_00;dec2022-002_032-044_SPEAKER_00_4;531.3078125000001;565.6853125;34.37749999999994
dec2022-002_032-044.wav;SPEAKER_01;dec2022-002_032-044_SPEAKER_01_0;77.65718749999999;134.00593750000002;56.348750000000024
dec2022-002_032-044.wav;SPEAKER_01;dec2022-002_032-044_SPEAKER_01_1;135.5384375;148.2315625;12.693125000000009
dec2022-002_032-044.wav;SPEAKER_01;dec2022-002_032-044_SPEAKER_01_2;259.24906250000004;356.80656250000004;97.5575
dec2022-002_032-044.wav;SPEAKER_01;dec2022-002_032-044_SPEAKER_01_3;444.46906250000006;464.8909375;20.421874999999943
dec2022-002_032-044.wav;SPEAKER_01;dec2022-002_032-044_SPEAKER_01_4;466.84531250000003;510.62218750000005;43.77687500000002
dec2022-002_032-044.wav;SPEAKER_01;dec2022-002_032-044_SPEAKER_01_5;511.91843750000004;528.5603125;16.64187499999997
dec2022-002_032-044.wav;SPEAKER_01;dec2022-002_032-044_SPEAKER_01_6;566.3234375000001;575.1184375;8.794999999999959
dec2022-002_038-016.wav;SPEAKER_00;dec2022-002_038-016_SPEAKER_00_0;14.190312500000003;44.298437500000006;30.108125
dec2022-002_038-016.wav;SPEAKER_00;dec2022-002_038-016_SPEAKER_00_1;84.1371875;108.0353125;23.898125000000007
dec2022-002_038-016.wav;SPEAKER_00;dec2022-002_038-016_SPEAKER_00_2;135.2009375;170.86093749999998;35.65999999999997
dec2022-002_038-016.wav;SPEAKER_00;dec2022-002_038-016_SPEAKER_00_3;215.8128125;255.43843750000002;39.625625000000014
dec2022-002_038-016.wav;SPEAKER_00;dec2022-002_038-016_SPEAKER_00_4;288.03781250000003;313.2015625;25.163749999999993
dec2022-002_038-016.wav;SPEAKER_00;dec2022-002_038-016_SPEAKER_00_5;325.17968750000006;357.8528125;32.67312499999997
dec2022-002_038-016.wav;SPEAKER_00;dec2022-002_038-016_SPEAKER_00_6;385.82843750000006;410.4015625;24.573124999999948
dec2022-002_038-016.wav;SPEAKER_00;dec2022-002_038-016_SPEAKER_00_7;420.06781250000006;450.3784375;30.31062499999996
dec2022-002_038-016.wav;SPEAKER_00;dec2022-002_038-016_SPEAKER_00_8;469.71406250000007;489.02218750000003;19.30812499999996
dec2022-002_038-016.wav;SPEAKER_00;dec2022-002_038-016_SPEAKER_00_9;517.6221875;544.1190625;26.496875000000045
dec2022-002_038-016.wav;SPEAKER_01;dec2022-002_038-016_SPEAKER_01_0;43.02968750000001;84.0559375;41.02624999999999
dec2022-002_038-016.wav;SPEAKER_01;dec2022-002_038-016_SPEAKER_01_1;107.84656249999999;134.1071875;26.26062500000002
dec2022-002_038-016.wav;SPEAKER_01;dec2022-002_038-016_SPEAKER_01_2;170.92531250000002;215.6303125;44.704999999999984
dec2022-002_038-016.wav;SPEAKER_01;dec2022-002_038-016_SPEAKER_01_3;256.27906250000007;282.30343750000003;26.024374999999964
dec2022-002_038-016.wav;SPEAKER_01;dec2022-002_038-016_SPEAKER_01_4;356.31406250000003;369.6484375;13.334374999999966
dec2022-002_038-016.wav;SPEAKER_01;dec2022-002_038-016_SPEAKER_01_5;373.44218750000005;386.23656250000005;12.794375000000002
dec2022-002_038-016.wav;SPEAKER_01;dec2022-002_038-016_SPEAKER_01_6;452.23156250000005;471.28656250000006;19.055000000000007
dec2022-002_038-016.wav;SPEAKER_01;dec2022-002_038-016_SPEAKER_01_7;499.76843750000006;517.4903125000001;17.72187500000001
